"eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","ingroup","ingroup2","ingroup3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"197000000001.0","1970.0","0.0","0.0","","0.0","","58.0","Dominican Republic","2.0","Central America & Caribbean","","Santo Domingo","18.456792","-69.951164","1.0","0.0","","","1.0","1.0","1.0","0.0","",".","0.0","1.0","0.0","1.0","Assassination","",".","",".","14.0","Private Citizens & Property","68.0","Named Civilian","","Julio Guzman","58.0","Dominican Republic","",".","",".","","","",".","",".","",".","","","",".","MANO-D","","","","","3629.0","","","","","0.0","","","","","","",".","","",".","","",".","","13.0","Unknown","",".","",".","",".","",".","",".","",".","",".","","1.0","","","0.0","","","0.0","",".","","","0.0","","","","","","","0.0","","","","","","",".","","","","","","PGIS","0.0","0.0","0.0","0.0",""
"197000000002.0","1970.0","0.0","0.0","","0.0","","130.0","Mexico","1.0","North America","","Mexico city","19.432608","-99.133207","1.0","0.0","","","1.0","1.0","1.0","0.0","",".","0.0","1.0","0.0","6.0","Hostage Taking (Kidnapping)","",".","",".","7.0","Government (Diplomatic)","45.0","Diplomatic Personnel (outside of embassy, consulate)","Belgian Ambassador Daughter","Nadine Chaval, daughter","21.0","Belgium","",".","",".","","","",".","",".","",".","","","",".","23rd of September Communist League","","","","","3330.0","","","","","0.0","","","7.0","","","",".","","",".","","",".","","13.0","Unknown","",".","",".","",".","",".","",".","",".","",".","","0.0","","","0.0","","","0.0","",".","","","1.0","1.0","0.0","","","","Mexico","1.0","800000.0","","","","","",".","","","","","","PGIS","0.0","1.0","1.0","1.0",""
"197001000001.0","1970.0","1.0","0.0","","0.0","","160.0","Philippines","5.0","Southeast Asia","Tarlac","Unknown","15.478598","120.599741","4.0","0.0","","","1.0","1.0","1.0","0.0","",".","0.0","1.0","0.0","1.0","Assassination","",".","",".","10.0","Journalists & Media","54.0","Radio Journalist/Staff/Facility","Voice of America","Employee","217.0","United States","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9.0","","","","","0.0","","","","","","",".","","",".","","",".","","13.0","Unknown","",".","",".","",".","",".","",".","",".","",".","","1.0","","","0.0","","","0.0","",".","","","0.0","","","","","","","0.0","","","","","","",".","","","","","","PGIS","-9.0","-9.0","1.0","1.0",""
"197001000002.0","1970.0","1.0","0.0","","0.0","","78.0","Greece","8.0","Western Europe","Attica","Athens","37.983773","23.728157","1.0","0.0","","","1.0","1.0","1.0","0.0","",".","0.0","1.0","0.0","3.0","Bombing/Explosion","",".","",".","7.0","Government (Diplomatic)","46.0","Embassy/Consulate","","U.S. Embassy","217.0","United States","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9.0","","","","","0.0","","","","","","",".","","",".","","",".","","6.0","Explosives/Bombs/Dynamite","16.0","Unknown Explosive Type","",".","",".","",".","",".","",".","",".","Explosive","","","","","","","1.0","",".","","","0.0","","","","","","","0.0","","","","","","",".","","","","","","PGIS","-9.0","-9.0","1.0","1.0",""
"197001000003.0","1970.0","1.0","0.0","","0.0","","101.0","Japan","4.0","East Asia","","Fukouka","33.580412","130.396361","1.0","0.0","","","1.0","1.0","1.0","-9.0","",".","0.0","1.0","0.0","7.0","Facility/Infrastructure Attack","",".","",".","7.0","Government (Diplomatic)","46.0","Embassy/Consulate","","U.S. Consulate","217.0","United States","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9.0","","","","","0.0","","","","","","",".","","",".","","",".","","8.0","Incendiary","",".","",".","",".","",".","",".","",".","",".","Incendiary","","","","","","","1.0","",".","","","0.0","","","","","","","0.0","","","","","","",".","","","","","","PGIS","-9.0","-9.0","1.0","1.0",""
"197001010002.0","1970.0","1.0","1.0","","0.0","","217.0","United States","1.0","North America","Illinois","Cairo","37.005105","-89.176269","1.0","0.0","","1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.","1.0","1.0","1.0","0.0","",".","0.0","1.0","0.0","2.0","Armed Assault","",".","",".","3.0","Police","22.0","Police Building (headquarters, station, school)","Cairo Police Department","Cairo Police Headquarters","217.0","United States","",".","",".","","","",".","",".","",".","","","",".","Black Nationalists","","","","","2373.0","","","","To protest the Cairo Illinois Police Deparment","0.0","","","-99.0","-99.0","0.0","",".","","",".","","",".","","5.0","Firearms","5.0","Unknown Gun Type","",".","",".","",".","",".","",".","",".","Several gunshots were fired.","0.0","0.0","0.0","0.0","0.0","0.0","1.0","3.0","Minor (likely < $1 million)","","","0.0","","","","","","","0.0","","","","","","",".","","The Cairo Chief of Police, William Petersen, resigned as a result of the attack.","""Police Chief Quits,"" Washington Post, January 2, 1970.","""Cairo Police Chief Quits; Decries Local 'Militants',"" Afro-American, January 10, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.","Hewitt Project","-9.0","-9.0","0.0","-9.0",""
"197001020001.0","1970.0","1.0","2.0","","0.0","","218.0","Uruguay","3.0","South America","Montevideo","Montevideo","-34.891151","-56.187214","1.0","0.0","","","1.0","1.0","1.0","0.0","",".","0.0","0.0","0.0","1.0","Assassination","",".","",".","3.0","Police","25.0","Police Security Forces/Officers","Uruguayan Police","Juan Maria de Lucah/Chief of Directorate of info. and intell.","218.0","Uruguay","",".","",".","","","",".","",".","",".","","","",".","Tupamaros (Uruguay)","","","","","623.0","","","","","0.0","","","3.0","","","",".","","",".","","",".","","5.0","Firearms","2.0","Automatic Weapon","",".","",".","",".","",".","",".","",".","Automatic firearm","0.0","","","0.0","","","0.0","",".","","","0.0","","","","","","","0.0","","","","","","",".","","","","","","PGIS","0.0","0.0","0.0","0.0",""
"197001020002.0","1970.0","1.0","2.0","","0.0","","217.0","United States","1.0","North America","California","Oakland","37.805065","-122.273024","1.0","0.0","Edes Substation","1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.","1.0","1.0","1.0","1.0","2.0","Other Crime Type","0.0","1.0","0.0","3.0","Bombing/Explosion","",".","",".","21.0","Utilities","107.0","Electricity","Pacific Gas & Electric Company","Edes Substation","217.0","United States","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9.0","","","","","0.0","","","-99.0","-99.0","0.0","",".","","",".","","",".","","6.0","Explosives/Bombs/Dynamite","16.0","Unknown Explosive Type","",".","",".","",".","",".","",".","",".","","0.0","0.0","0.0","0.0","0.0","0.0","1.0","3.0","Minor (likely < $1 million)","22500.0","Three transformers were damaged.","0.0","","","","","","","0.0","","","","","","",".","","Damages were estimated to be between $20,000-$25,000.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.","","Hewitt Project","-9.0","-9.0","0.0","-9.0",""
"197001030001.0","1970.0","1.0","3.0","","0.0","","217.0","United States","1.0","North America","Wisconsin","Madison","43.07295","-89.386694","1.0","0.0","","1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.","1.0","1.0","1.0","0.0","",".","0.0","1.0","0.0","7.0","Facility/Infrastructure Attack","",".","",".","2.0","Government (General)","21.0","Government Building/Facility/Office","Selective Service","Selective Service Headquarters in Madison Wisconsin","217.0","United States","",".","",".","","","",".","",".","",".","","","",".","New Year's Gang","","","","","100003.0","","","","To protest the War in Vietnam and the draft","0.0","","","1.0","1.0","0.0","",".","","",".","","",".","","8.0","Incendiary","20.0","Gasoline or Alcohol","",".","",".","",".","",".","",".","",".","Poured gasoline on the floor and lit it with a match","0.0","0.0","0.0","0.0","0.0","0.0","1.0","3.0","Minor (likely < $1 million)","","Slight damage","0.0","","","","","","","0.0","","","","","","",".","","Karl Armstrong's girlfriend, Lynn Schultz, drove him to and from the Primate Lab.  A day earlier Armstrong would firebomb the R.O.T.C. offices at the University of Wisconsin. (197001020003)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970. (197008240001)","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Tom Bates, ""Rads: The 1970 Bombing of the Army Math Research Center at the University of Wisconsin and Its Aftermath,"" HarperCollinsPublishing, 1992.","David Newman, Sandra Sutherland, and Jon Stewart, ""The Madison Bomb Story: The Death the FBI Saw, Heard and Won't Talk About,"" Mother Jones, February-March, 1979.","Hewitt Project","0.0","0.0","0.0","0.0",""
"197001050001.0","1970.0","1.0","1.0","","0.0","","217.0","United States","1.0","North America","Wisconsin","Baraboo","43.4685","-89.744299","1.0","0.0","","","1.0","1.0","0.0","1.0","1.0","Insurgency/Guerilla Action","0.0","0.0","0.0","3.0","Bombing/Explosion","",".","",".","4.0","Military","27.0","Military Barracks/Base/Headquarters/Checkpost","","Badger Army ammo depot.","217.0","United States","",".","",".","","","",".","",".","",".","","","",".","Weather Underground, Weathermen","","","","","1231.0","","","","","0.0","","","","","","",".","","",".","","",".","","6.0","Explosives/Bombs/Dynamite","16.0","Unknown Explosive Type","",".","",".","",".","",".","",".","",".","Explosive","0.0","","","0.0","","","0.0","3.0","Minor (likely < $1 million)","0.0","","0.0","","","","","","","0.0","","","","","","",".","","","","","","PGIS","0.0","0.0","0.0","0.0",""
